nwscode,rivgroup
PATC1,SanJoaquin
VNSC1,SanJoaquin
DCMC1,SanJoaquin
OBBC1,SanJoaquin
RIPC1,SanJoaquin
MOSC1,SanJoaquin
PTTC1,SanJoaquin
OREC1,SanJoaquin
LTDC1,SanJoaquin
PNEC1,SanJoaquin
LGAC1,SanJoaquin
WARC1,SanJoaquin
LGCC1,SanJoaquin
CHVC1,SanJoaquin
LNRC1,SanJoaquin
NDPC1,SanJoaquin
NDVC1,SanJoaquin
NSWC1,SanJoaquin
AVYC1,SanJoaquin
NMSC1,SanJoaquin
UKAC1,RussianNapa
LAMC1,RussianNapa
HOPC1,RussianNapa
GRCC1,RussianNapa
NVRC1,RussianNapa
CDLC1,RussianNapa
WSDC1,RussianNapa
GSRC1,RussianNapa
HEAC1,RussianNapa
SHEC1,RussianNapa
HNEC1,RussianNapa
GUEC1,RussianNapa
APCC1,RussianNapa
FTDC1,NorthCoast
CREC1,NorthCoast
ORIC1,NorthCoast
BLKC1,NorthCoast
FRNC1,NorthCoast
ARCC1,NorthCoast
RDAC1,NorthCoast
BRGC1,NorthCoast
MTOC1,NorthCoast
SCOC1,NorthCoast
ETTC1,NorthCoast
MAUC1,NorthCoast
MRNC1,NorthCoast
LEGC1,NorthCoast
DOSC1,NorthCoast
FTBC1,NorthCoast
FTSC1,NorthCoast
PLBC1,NorthCoast
FRGC1,N_SanJoaquin
MSGC1,N_SanJoaquin
NHGC1,N_SanJoaquin
THTC1,N_SanJoaquin
CMCC1,N_SanJoaquin
CMPC1,N_SanJoaquin
EDOC1,N_SanJoaquin
MCNC1,N_SanJoaquin
SOSC1,N_SanJoaquin
MHBC1,N_SanJoaquin
SACC1,LowerSacramento
SAMC1,LowerSacramento
RVBC1,LowerSacramento
BOYO3,Klamath
BTYO3,Klamath
BURC1,Klamath
CEGC1,Klamath
CHSO3,Klamath
CKEC1,Klamath
FTJC1,Klamath
GERO3,Klamath
HAPC1,Klamath
HOOC1,Klamath
HYMC1,Klamath
IRGC1,Klamath
KELO3,Klamath
KEOO3,Klamath
KLAO3,Klamath
KLMC1,Klamath
LEWC1,Klamath
ONSC1,Klamath
SBRC1,Klamath
SCNO3,Klamath
SEIC1,Klamath
SFYC1,Klamath
TRJC1,Klamath
WKAO3,Klamath
WMSO3,Klamath
YREC1,Klamath
HETC1,SanJoaquin
GSJC1,CentralCoast
GUAC1,CentralCoast
GUDC1,CentralCoast
CADC1,CentralCoast
ALRC1,CentralCoast
LEXC1,CentralCoast
