Basin,DESCRIPTION
EPRC1,Little Stony Ck - East Park Dam
FMWC1,Sacramento - Fremont Weir
DLMC1,Dry Creek nr Lemoncove
KTRC1,Kaweah - Three Rivers
TMDC1,Kaweah - Terminus Dam
PFTC1,Kings - Pine Flat Dam
MLPC1,Mill Creek nr Piedra
KKVC1,Kern - Fairview Dam
SKRC1,SF Kern - Onyx
ISAC1,Kern - Isabella Dam
SCSC1,Tule - Success Dam
HSAC1,Huasna R - Arroyo Grande
TWDC1,Cuyama - Twitchell Dam
GARC1,Sisquoc - Garey
SSQC1,Sisquoc R - Sisquoc
SLUC1,Salsipudes Ck - Lompoc
NRWC1,Santa Ynez - Narrows
CCHC1,Santa Ynez - Cachuma Dam
CYBC1,Cuyama R - Buckhorn Canyon
PYMC1,Piru Ck - Pyramid Lake
LLYC1,Santa Ynez - Los Laurels Canyon
SESC1,Sespe Ck - Fillmore
VRVC1,Ventura River nr Ventura
LKPC1,Lake Piru
VCAC1,Santa Clara - Victoria Avenue
SCPC1,Santa Clara - Piru
CLLC1,Calleguas Ck - Camarillo
SVIC1,San Vicente Ck - San Vicente Dam
ELPC1,San Diego R - El Capitan Dam
FSNC1,San Diego R - Fashion Valley
MUTC1,Murrieta Ck - Temecula
SMHC1,Santa Margarita - Temecula
VLKC1,Temecula Ck - Vail Lake
YDRC1,Santa Margarita - Ysidora
TEKC1,Temecula Ck - Aguanga
SLOC1,San Luis Rey R at Oceanside
SHRC1,San Luis Rey - Shearer Crossing
HAWC1,San Luis Rey R - Lake Henshaw
MBRC1,Mojave River at Barstow
MVVC1,Mojave River nr Victorville
MVDC1,Mojave Forks Dam
WFMC1,WF Mojave - Hesperia
SVWC1,Silverwood Lk - Hesperia
DKHC1,Deep Creek nr Hesperia
KNBC1,Cajon Ck - Keenbrook
YTLC1,Lytle Ck nr Colton
SRWC1,Santa Ana - Mentone
SREC1,Santa Ana - E St
MWXC1,Santa Ana - MWD Crossing
ADOC1,Santa Ana R - Prado Dam
TIMC1,San Timoteo Ck - Loma Linda
LKMC1,Lake Matthews
TSLC1,Temescal Ck abv Main Street
MSYC1,Mission Ck - Desert Hot Springs
WIPC1,Whitewater at Windy Point
WWIC1,Whitewater River at Rancho Mirage
WTIC1,Whitewater River at Indio
PCNC1,Palm Canyon Creek near Palm Springs
DEPC1,Deep Creek - Pam Desert
WHWC1,Whitewater River at Mecca
EXQC1,Merced - New Exchequer Dam
POHC1,Merced R - Pohono Bridge
HPIC1,Merced R - Happy Isles Br
FRAC1,San Joaquin - Friant Dam
NWMC1,San Joaquin - Newman
DRYC1,Dry Ck - Crabtree Rd
DSNC1,Dry Ck - Snelling
MDSC1,Tuolumne - Modesto
KNFC1,Stanislaus - Knights Ferry
HIDC1,Fresno - Hidden Dam
BHNC1,Chowchilla - Buchanan Dam
MPAC1,Mariposa Ck - Mariposa Res
OWCC1,Owens Ck - Owens Dam
BCKC1,Bear Ck - Bear Res
BNCC1,Burns Ck - Burns Res
MEEC1,Bear Ck - McKee Rd
STVC1,Merced - Stevinson
PATC1,San Joaquin - Patterson
VNSC1,San Joaquin - Vernalis
DCMC1,Dry Ck - Claus Rd
OBBC1,Stanislaus - Orange Blossom Br
RIPC1,Stanislaus - Ripon
MOSC1,San Joaquin - Mossdale
PTTC1,Del Puerto Ck - Patterson
OREC1,Orestimba Ck - Newman
LTDC1,Little Dry Ck nr Friant
PNEC1,Panoche Ck - Interstate 5
LGAC1,Los Gatos Ck - El Dorado Ave
WARC1,Warthan Ck - Coalinga
LGCC1,Los Gatos Ck - Coalinga
CHVC1,Cherry Ck - Cherry Valley Dam
LNRC1,Eleanor Ck - Lake Eleanor Dam
NDPC1,Tuolumne - New Don Pedro Dam
NDVC1,NF Stanislaus - Diversion Dam
NSWC1,Highland Ck - New Spicer Meadows Rsvr
AVYC1,NF Stanislaus - Avery
NMSC1,Stanislaus - New Melones Dam
UKAC1,Russian R - Ukiah
LAMC1,EF Russian - Coyote Dam
HOPC1,Russian - Hopland
GRCC1,Garcia R - Pt Arena
NVRC1,Navarro - Navarro
CDLC1,Russian River - Cloverdale
WSDC1,Dry Ck - Warm Springs Dam
GSRC1,SF Gualala - Sea Ranch
HEAC1,Russian River - Healdsburg
SHEC1,Napa - St. Helena
HNEC1,Conn Ck - Lake Hennessey
GUEC1,Russian - Guerneville
APCC1,Napa - Napa
FTDC1,Smith - Fort Dick
CREC1,Smith - Jed Smith nr Crescent City
ORIC1,Redwood Ck - Orick
BLKC1,Redwood Ck - Blue Lake
FRNC1,Eel - Fernbridge
ARCC1,Mad River - Arcata
RDAC1,Mad River - Ruth Lake
BRGC1,Van Duzen - Bridgeville
MTOC1,Mattole - Petrolia
SCOC1,Eel - Scotia
ETTC1,Mattole - Ettersburg
MAUC1,Mad River abv Ruth Reservoir
MRNC1,SF Eel - Miranda
LEGC1,SF Eel - Leggett
DOSC1,MF Eel - Dos Rios
